Category: All categories

Month,New Zealand work visa: (India)
2010-01,0
2010-02,46
2010-03,0
2010-04,0
2010-05,0
2010-06,98
2010-07,38
2010-08,43
2010-09,49
2010-10,82
2010-11,26
2010-12,33
2011-01,55
2011-02,47
2011-03,37
2011-04,59
2011-05,27
2011-06,41
2011-07,36
2011-08,31
2011-09,16
2011-10,21
2011-11,40
2011-12,18
2012-01,25
2012-02,27
2012-03,30
2012-04,22
2012-05,35
2012-06,25
2012-07,31
2012-08,36
2012-09,47
2012-10,31
2012-11,33
2012-12,33
2013-01,24
2013-02,31
2013-03,34
2013-04,43
2013-05,31
2013-06,33
2013-07,32
2013-08,50
2013-09,35
2013-10,19
2013-11,29
2013-12,33
2014-01,37
2014-02,35
2014-03,39
2014-04,29
2014-05,29
2014-06,32
2014-07,40
2014-08,43
2014-09,53
2014-10,35
2014-11,45
2014-12,39
2015-01,36
2015-02,35
2015-03,38
2015-04,44
2015-05,46
2015-06,42
2015-07,34
2015-08,39
2015-09,39
2015-10,36
2015-11,37
2015-12,28
2016-01,35
2016-02,31
2016-03,35
2016-04,30
2016-05,26
2016-06,32
2016-07,32
2016-08,32
2016-09,22
2016-10,17
2016-11,17
2016-12,21
2017-01,26
2017-02,28
2017-03,32
2017-04,30
2017-05,24
2017-06,23
2017-07,23
2017-08,22
2017-09,26
2017-10,24
2017-11,24
2017-12,17
2018-01,19
2018-02,24
2018-03,24
2018-04,22
2018-05,20
2018-06,25
2018-07,31
2018-08,26
2018-09,18
2018-10,23
2018-11,18
2018-12,15
2019-01,26
2019-02,25
2019-03,23
2019-04,17
2019-05,23
2019-06,22
2019-07,27
2019-08,22
2019-09,25
2019-10,27
2019-11,23
2019-12,26
2020-01,27
2020-02,28
2020-03,17
2020-04,12
2020-05,20
2020-06,22
2020-07,23
2020-08,21
2020-09,22
2020-10,20
2020-11,22
2020-12,17
2021-01,17
2021-02,20
2021-03,19
2021-04,17
2021-05,18
2021-06,24
2021-07,19
2021-08,16
2021-09,16
2021-10,14
2021-11,18
2021-12,12
2022-01,13
2022-02,18
2022-03,12
2022-04,13
2022-05,20
2022-06,15
2022-07,24
2022-08,27
2022-09,21
2022-10,24
2022-11,31
2022-12,52
2023-01,43
2023-02,43
2023-03,61
2023-04,82
2023-05,91
2023-06,100
2023-07,92
2023-08,79
2023-09,59
2023-10,49
2023-11,44
2023-12,50
