month,india_arrivals_esimate,india_arrivals_plt
2001M01,291,
2001M02,600,
2001M03,382,
2001M04,398,
2001M05,528,
2001M06,531,
2001M07,660,
2001M08,521,
2001M09,595,
2001M10,657,
2001M11,634,
2001M12,520,
2002M01,732,
2002M02,1085,
2002M03,895,
2002M04,710,
2002M05,866,
2002M06,959,
2002M07,1001,
2002M08,763,
2002M09,842,
2002M10,797,
2002M11,733,
2002M12,504,
2003M01,645,
2003M02,909,
2003M03,682,
2003M04,579,
2003M05,655,
2003M06,665,
2003M07,853,704
2003M08,558,448
2003M09,476,382
2003M10,463,346
2003M11,550,366
2003M12,368,215
2004M01,418,304
2004M02,703,605
2004M03,405,260
2004M04,420,271
2004M05,430,297
2004M06,430,305
2004M07,494,402
2004M08,342,250
2004M09,328,249
2004M10,331,202
2004M11,278,205
2004M12,341,235
2005M01,328,210
2005M02,536,428
2005M03,380,230
2005M04,345,233
2005M05,421,258
2005M06,319,229
2005M07,465,354
2005M08,371,238
2005M09,252,198
2005M10,305,213
2005M11,308,216
2005M12,262,154
2006M01,284,198
2006M02,554,452
2006M03,380,270
2006M04,324,210
2006M05,357,206
2006M06,382,229
2006M07,628,511
2006M08,346,252
2006M09,300,209
2006M10,305,191
2006M11,340,198
2006M12,278,167
2007M01,382,271
2007M02,717,608
2007M03,516,329
2007M04,391,269
2007M05,369,241
2007M06,471,301
2007M07,810,700
2007M08,512,337
2007M09,535,394
2007M10,404,276
2007M11,425,327
2007M12,444,279
2008M01,557,408
2008M02,1313,1144
2008M03,588,429
2008M04,495,346
2008M05,583,418
2008M06,544,387
2008M07,1151,1044
2008M08,640,496
2008M09,673,543
2008M10,564,412
2008M11,547,406
2008M12,361,232
2009M01,607,496
2009M02,1549,1482
2009M03,758,641
2009M04,550,452
2009M05,595,487
2009M06,588,421
2009M07,1168,1052
2009M08,552,398
2009M09,674,498
2009M10,571,454
2009M11,520,394
2009M12,398,285
2010M01,607,502
2010M02,1308,1265
2010M03,723,575
2010M04,634,508
2010M05,636,492
2010M06,600,456
2010M07,1254,1096
2010M08,872,624
2010M09,901,727
2010M10,893,714
2010M11,711,569
2010M12,487,321
2011M01,596,484
2011M02,1263,1071
2011M03,864,636
2011M04,648,490
2011M05,570,437
2011M06,624,456
2011M07,1050,927
2011M08,619,483
2011M09,591,467
2011M10,503,396
2011M11,662,526
2011M12,390,267
2012M01,605,486
2012M02,1474,1201
2012M03,1002,824
2012M04,481,370
2012M05,644,522
2012M06,636,519
2012M07,949,823
2012M08,578,422
2012M09,598,488
2012M10,576,444
2012M11,597,478
2012M12,424,314
2013M01,574,447
2013M02,1153,1041
2013M03,924,755
2013M04,580,455
2013M05,841,662
2013M06,686,566
2013M07,910,823
2013M08,607,473
2013M09,528,422
2013M10,732,522
2013M11,912,600
2013M12,608,377
2014M01,925,611
2014M02,1696,1349
2014M03,1414,1032
2014M04,1051,769
2014M05,1226,880
2014M06,1349,992
2014M07,1805,1508
2014M08,1699,1274
2014M09,1492,1166
2014M10,1322,1006
2014M11,1387,1091
2014M12,848,552
2015M01,1588,1320
2015M02,2621,2372
2015M03,1741,1361
2015M04,1207,840
2015M05,1174,830
2015M06,1247,922
2015M07,2394,2096
2015M08,1864,1374
2015M09,1710,1360
2015M10,1588,1234
2015M11,1550,1213
2015M12,853,555
2016M01,1284,1031
2016M02,2248,1957
2016M03,1427,1064
2016M04,1076,749
2016M05,1322,890
2016M06,1099,761
2016M07,1544,1276
2016M08,954,718
2016M09,856,632
2016M10,1101,765
2016M11,1172,866
2016M12,650,360
2017M01,987,774
2017M02,2023,1755
2017M03,1217,925
2017M04,923,653
2017M05,1144,735
2017M06,1036,672
2017M07,1808,1468
2017M08,1064,667
2017M09,874,539
2017M10,1048,707
2017M11,1126,785
2017M12,742,387
2018M01,1047,783
2018M02,2178,1914
2018M03,1364,921
2018M04,825,528
2018M05,1202,684
2018M06,1133,695
2018M07,1988,1555
2018M08,1221,743
2018M09,1001,630
2018M10,902,565
2018M11,850,540
2018M12,583,233
2019M01,808,562
2019M02,1826,1589
2019M03,802,611
2019M04,499,339
2019M05,718,443
2019M06,852,574
2019M07,2196,1740
2019M08,1360,830
2019M09,1128,624
2019M10,1645,888
2019M11,1882,945
2019M12,1408,497
2020M01,1859,900
2020M02,4221,2837
2020M03,2039,754
2020M04,20,6
2020M05,5,1
2020M06,196,72
2020M07,62,37
2020M08,169,27
2020M09,192,79
2020M10,172,110
2020M11,28,22
2020M12,215,153
2021M01,176,102
2021M02,242,166
2021M03,406,258
2021M04,205,130
2021M05,112,64
2021M06,201,124
2021M07,225,116
2021M08,391,269
2021M09,479,340
2021M10,386,285
2021M11,321,265
2021M12,510,368
2022M01,306,203
2022M02,296,192
2022M03,514,395
2022M04,1221,821
2022M05,769,520
2022M06,760,518
2022M07,1481,962
2022M08,1228,765
2022M09,1160,776
2022M10,1412,813
2022M11,2151,1269
2022M12,2620,1455
2023M01,2049,1224
2023M02,3061,2404
2023M03,4296,2767
2023M04,4371,2731
2023M05,4757,2969
2023M06,5167,3130
2023M07,4758,3170
2023M08,5916,3650
2023M09,4675,3295
2023M10,4284,2908
